,text,likes
0,Watch us on RELEASED for never before seen footage before our new music video drops. Set a reminder  → yt.be/releasedblackpink,446K
1,"""we were born to be alone"" 
me: yeah i know, i'm 22 and single since birth",559
2,"When BLACKPINK said 'We were born to be alone but why we're still looking for love'

I felt that",455
3,Black pink has really nailed this song.who ever is reading this comments blinks stream harder for this mv..cause they are a masterpiece,376
4,"Jisoo👑
Lisa👑
Rose👑
Jennie👑",192
5,I don't care about views don't care who win many arwad at MMA2020 I cry because 2020 blackpink comeback n 3mv .. really proud to my queen .. haters also haters but many around world love BLACKPINK,305
6,𝖥𝗎𝗇 𝖿𝖺𝖼𝗍:,398
7,"Jennie: “A prince not even on my list”

Me: laughing in closeted lesbian",3
8,"my friend: Blackpink only has chinese fans 🙄

like if you're not chinese",19
9,"Jennie: “A prince not even on my list”

Me: laughing in closeted lesbian",128
10,"""My love is on fire""

""We must kill this love""",962
11,This song just sounds better every time I listen to it,145
12,"Stream for:
Lovesick girls: 300million
Ice cream: 400 million
How you like that: 700 million",194
13,All the dislikes are from those people who are not on Jennie's List.,17
14,"Jennie: has a boy
Lisa: has a boy
Rosé: has a boy
Jisoo: I'm jisoo, I'm ok",149
15,"Therapist: “So Rosé... why were you and that boy fighting?”

Rosé: “H-he brought the wrong type of pink!!!”",7K
16,"""Didn't wanna be a princess l'm priceless""
                                                      JENNIE KIM",51
17,"For BLINKS:
Pls don't stream the HYLT dance performance it's not important. Stream the MV instead. You can stream Kill This Love to 1.1B views, As If It's Your Last into 1B views or How You Like That into 700M views,...
Pls copy and paste this so BLINKS can know.",88
18,"ROSÉ ARE QUEEN
JISOO ARE QUEEN
JENNIE ARE QUEEN
LISA ARE QUEEN",8
19,"I thank Youtube's Algorithm with ALL. MY. HEART.

I wasn't a BLINK before, heck I'm not even into K-Pop. But then, it all changed when this MV popped up in my homepage a month ago...",43
20,"JENNIE HATERS: ""she's just YG's Princess""

JENNIE IN THE VIDEO: ""DIDN'T WANNA BE A PRINCESS, I'M PRICELESS""",815
21,I am an ARMY but i love blackpink also because they always have the best facts in their songs 💜,121
22,MMA vote to blackpink,16
23,"أن الحَزن يمـلك ذوقـٓ⁠، جمــيل فـهو دائماً يلـَعب مع القلــوب البيضـَاء""",19
24,أصَعب أنواع المُقاوَمة عَندما تَكون لديَك رَغَبة بَالبكَاء وَلكَنك تَبتسم لتَحِمي كَبريائك.,31
25,"Popular Opinion:
""Lisa - Pretty savage""
""Jennie - Crazy over you""
""Rosé - Love to hate me""",3.1K
26,"Top 10 most commented kpop GG mvs:
1 - BLACKPINK - Ice Cream (2.9M)
2 - BLACKPINK - HYLT (2.7M)
3 - BLACKPINK - 4D (2.3M)",19
27,"THE NEW VERSION OF BLACKPINK'S LIGHTSTICK This time it comes with the Bluetooth function to react to different songs. Plus it comes with a product stand and is limited

2020 ITS ONLY BLACKPINK YEAR",15
28,"Es un gran gustaso dejar un mensaje de felicitaciones y mis sincero apoyó a equipo de BlackPink y como a sus gran cantantes Lisa, Rose Jenni, Jisoo soy un gran fan un Nuevo seguidor de BlackPink y más por de la señorita Jisoo su voz y su talento sin dudas es lo mejor para mi la eñorita Jisoo es la mejor sigue así Fuerza y muchos éxitos un cordial saludo de un Latino Ecuatoriano - Quiteño",10
29,Who is the stupid guy who is going to break up with one of these queens??????,75
30,Jisoo is really shining here and I’m living for it,2.5K
31,Now I know why blackpink wanted to kill this love it was because they were lovesick,50
32,"METAS
HYLT: 700M
ICE CREAM: 400M
LOVESICK GIRLS: 300M",12
33,"Lisa: *with a boy*
Rose: *with a boy*
Jennie: *with a boy*
Meanwhile jisoo: Dashi run run run",60
