,comment
0,"SKIP NAVIGATION
SIGN IN
0:00 / 0:33
SHOW CHAT REPLAY
#BLACKPINK #블랙핑크 #1stFULLALBUM
BLACKPINK – ‘Lovesick Girls’ M/V
219,222,175 views•Premiered Oct 1, 2020
10M
193K
SHARE
SAVE
BLACKPINK
52.4M subscribers
SUBSCRIBE
BLACKPINK – ‘Lovesick Girls’

영원한 밤
창문 없는 방에 우릴 가둔 love
What can we say
매번 아파도 외치는 love

다치고 망가져도 나
뭘 믿고 버티는 거야
어차피 떠나면 상처투성인 채로 미워하게 될걸
끝장을 보기 전 끝낼 순 없어
이 아픔을 기다린 것처럼

아마 다 잠깐 일지도 몰라
우린 무얼 찾아서 헤매는 걸까

But I don’t care I’ll do it over and over
내 세상 속엔 너만 있으면 돼

We are the lovesick girls
네 멋대로 내 사랑을 끝낼순 없어
We are the lovesick girls
이 아픔 없인 난 아무 의미가 없어

But we were born to be alone
Yeah we were born to be alone
Yeah we were born to be alone 
But why we still looking for love

No love letters, no x and o’s
No love never, my exes know
No diamond rings, that set in stone
To the left, better left alone

Didn’t wanna be a princess, I’m priceless
A prince not even on my list
Love is a drug that I quit
No doctor could help when I’m lovesick

아마 다 잠깐 일지도 몰라
우린 무얼 찾아서 헤매는 걸까

불안한 내 눈빛 속에 널 담아
아프더라도 너만 있으면 돼

We are the lovesick girls
네 멋대로 내 사랑을 끝낼 순 없어
We are the lovesick girls
이 아픔 없인 난 아무 의미가 없어

But we were born to be alone
Yeah we were born to be alone
Yeah we were born to be alone 
But why we still looking for love

사랑은 slippin’ and fallin’
사랑은 killin’ your darlin’
아프다 아물면 또 찾아오는 이 겁 없는 떨림

들리지 않아 what you say
이 아픔이 난 행복해
나를 불쌍해 하는 네가 내 눈엔 더 불쌍해

We are the lovesick girls
네 멋대로 내 사랑을 끝낼 순 없어
We are the lovesick girls
이 아픔없인 난 아무 의미가 없어

Lovesick girls 
모두 결국 떠나가고
Lovesick girls
내 눈물이 무뎌져도
Lovesick girls
아프고 또 아파도
Lovesick girls
But we’re still looking for love

Available on @ 
SHOW MORE
Buy BLACKPINK merchandise
$65.00
Merchbar
$35.00
Merchbar
$40.00
Merchbar
$35.00
Merchbar
$15.00
Merchbar
$45.00
Merchbar
Up next
AUTOPLAY
BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V
BLACKPINK
377M views
2 months ago
Mix - BLACKPINK – ‘Lovesick Girls’ M/V
YouTube
BLACKPINK - ‘Pretty Savage’ 1011 SBS Inkigayo
BLACKPINK
45M views
3 weeks ago
BLACKPINK - 'Lovesick Girls' DANCE PRACTICE VIDEO
BLACKPINK
63M views
3 weeks ago
68
K.iNG
YouTube Music
Updated today
3:36
Red Velvet 레드벨벳 'Psycho' MV
SMTOWN
193M views
10 months ago
3:41
TWICE ""I CAN'T STOP ME"" M/V
JYP Entertainment
76M views
6 days ago
New
3:31
[MV] 마마무(MAMAMOO) - HIP
MAMAMOO
184M views
11 months ago
3:44
BTS (방탄소년단) 'Dynamite' Official MV
Big Hit Labels
551M views
2 months ago
3:37
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V
BLACKPINK
899M views
3 years ago
3:41
TWICE ""Feel Special"" M/V
JYP Entertainment
287M views
1 year ago
9:42
Vocal Coach Reacts to BLACKPINK – Lovesick Girls
Tristan Paredes
364K views
4 weeks ago
3:14
BLACKPINK - 'Kill This Love' M/V
BLACKPINK
1B views
1 year ago
3:01
BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO
BLACKPINK
397M views
3 months ago
4:01
TWICE ""MORE & MORE"" M/V
JYP Entertainment
203M views
5 months ago
3:38
BLACKPINK - 'Lovesick Girls' Jimmy Kimmel Live
BLACKPINK
13M views
1 week ago
3:51
BLACKPINK - '휘파람'(WHISTLE) M/V
BLACKPINK
574M views
4 years ago
2:50
Love To Hate Me
BLACKPINK
21M views
1 month ago
4:03
ITZY “Not Shy” M/V
JYP Entertainment
112M views
2 months ago
4:04
BLACKPINK - '붐바야'(BOOMBAYAH) M/V
BLACKPINK
1B views
4 years ago
SHOW MORE
1,664,551 Comments
SORT BY
Add a public comment...
Pinned by BLACKPINK
BLACKPINK
1 month ago
Watch us on RELEASED for never before seen footage before our new music video drops. Set a reminder  → yt.be/releasedblackpink
441K
REPLY
View 485 replies
Ellysa Hernandez
1 month ago (edited)
“We were born to be alone but why we still looking for love”

Me: gorlllll i question that to myself everyday
3.1K
REPLY
View 44 replies
Giralph Nikko Pescueso
23 hours ago
Everyone: ""This is the worst year ever""

BLACKPINK: ""Sorry but not for us""



STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020)
634
REPLY
View 26 replies
Famosinhos Teen
8 hours ago
BRASILEIROS IN YOUR AREAAAA
155
REPLY
View 20 replies
Cương Lê Minh
20 hours ago
Guys pls dont' foget vote BLACKPINK in MAMA 2020.
10
REPLY
Josephine Ceperiano
20 hours ago
Jennie : with Loren
Lisa : with Loren
Rosé : with Loren
Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in
Read more
52
REPLY
View 2 replies
Hunter
4 weeks ago
Therapist: “So Rosé... why were you and that boy fighting?”

Rosé: “H-he brought the wrong type of pink!!!”
3.5K
REPLY
View 47 replies
• ʝɛɳ - ʝuɳ •
1 day ago
Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!
372
REPLY
View 130 replies
SHY KA
19 hours ago (edited)
Lisa: With loren - I am soooo sad 
Rose: With loren -I am fighting with him
because he buy the wrong type of pink !!
Jennie: With loren-Don't doctor help me when i am lovesick .
Read more
58
REPLY
View 4 replies
Valen B
5 hours ago
Jennie no sexualizo , la sexualizaron que es otra cosa diferente , FACTS
24
REPLY
View 2 replies
K-pop Smasher
1 day ago (edited)
In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )
106
REPLY
View 5 replies
jojojoy
4 weeks ago (edited)
Rosé : with a boy
Lisa : with a boy 
Jennie : with a boy
Jisoo : I'm Jisoo I'm ok
2.2K
REPLY
View 72 replies
ellaella jelly
19 hours ago
VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS
8
REPLY
An Le
9 hours ago
Everyone: ""This is the worst year ever""
BLACKPINK: ""Sorry but not for us""

STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020)
80
REPLY
View 4 replies
ɞ Melanie Thiddara Muñoz Dominguez ɞ
1 day ago
Creo que hablo por todos diciendo que extrañamos a la Jennie enfermera qwq
55
REPLY
View 4 replies
Cherry L
19 hours ago
“But we were born to be alone”

Blackpink: HERE I COME KICKN THE DOOR
93
REPLY
View 4 replies
Lin Zhaoming
4 days ago
Me: trying to get the Korean parts.
Older brother: You sound like a screeching parrot. 
Me: :(
671
REPLY
View 19 replies
flower 04
2 hours ago
Everyone: ""This is the worst year ever""

BLACKPINK: ""Sorry but not for us""



STAN BLACKPINK FOR BETTER LIFE!
21
REPLY
View 4 replies
Elizabeth Parreño
1 day ago
Lets vote everyday on MAMA. They deserve to win artist of the year and song of the year. please please help to vote
29
REPLY
View 3 replies
Prema Manjari
20 hours ago
Blinks if you want blackpink to attend award show then vote for them on all the voting platform- like choeaedol,  idol champ , mwave etc. Don't be lazy Pinks didn't raise lazy fandom 
Don't depend on others
It doesn't matter if pikks attend or not , that award will be added to their awards list
Read more
11
REPLY
KoralIntens
1 day ago
How you like that : BLACK
Ice Cream : PINK
LOVESICK GIRLS : BLACKPINK !
90
REPLY
View 5 replies
UDITI JOSHI
3 weeks ago
Popular opinion: Jennie did nothing wrong, haters knew this song was ABSOLUTELY PERFECT, but they had to find something to nitpick about, and the reason they picked was absolutely meaningless.
5.3K
REPLY
View 87 replies
X1 Hangyul
15 hours ago
BLACKPINK isn't just a group, they're an artistic reconstruction, the breeze you respire, a motive for existence, a moment for history books, a body of finest craftsmanship, a departure from this atrocious cosmos, and an embosom from a cherished one.
15
REPLY
Davi Juan
8 hours ago
So let me introduce them to who is still confused who's who-
Jisoo: The most beautiful one, the visual
Jennie : The most attractive one, charming face
Rose: The most gorgeous one, the princess
Read more
34
REPLY
View reply
thaisss ss
16 hours ago
• The first act in KPOP to get a 1B in debut;
• the first group of KPOP to get 1b; 
• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)
Read more
44
REPLY
View 4 replies
TX Z
20 hours ago
When you realise they all died in the mv Jennie died cause of an car accident Lisa jumped from a rooftop Rosé drowned in the bathtub and jisoo drowned in the pool
8
REPLY
jennie’s lovebot
1 month ago (edited)
it’s a privilege to exist at the same time as blackpink
618
REPLY
View 25 replies
valerinha soares
1 day ago
I wish when Blackpink comeback again, please makes Rosé with her black hair:(
26
REPLY
View 5 replies
Ænxiety S.
1 day ago
‼️ATTENTION TO ALL BLINKS AROUND THE WORLD‼️‼️

-MAMA's VOTING ALREADY BEGIN

-GO VOTE BLACKPINK IN ALL CATEGORIES THAT HAVE BLACKPINK IN IT

-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT
Read more
12
REPLY
View 5 replies
dCymccc Jeon
20 hours ago
Vote for BLACKPINK in MAMA guys
5
REPLY
mahalia ysobelle capistrano
20 hours ago
Let’s make every MV reaches 1 Billion
5
REPLY
View reply
Marina Smith
1 month ago
In this era everybody shines, Not only one
543
REPLY
View 26 replies
Angela Gonzales
19 hours ago
VOTE AT MAMA BLINKS! BLACKPINK IS NOMINATED. THEY MIGHT PERFORM THERE.
2
REPLY
Cherry L
19 hours ago
“I’ve become numb to crying” 
that was so true. but Blackpink came and they were my light in the dark.
1
REPLY
duvar kağıdı
1 day ago
Goals:
300m Str34ms and 11m like.
Can we do blinks?
10
REPLY
Kpop & Toca Boca FOREVER!
19 hours ago
my Dad said they’re gorgeous and that Rose is cute
4
REPLY
View reply
QUEEN BLINKS
4 weeks ago (edited)
10 million okey 
20 million okey
30 million okey
40 million okey
Read more
335
REPLY
View 20 replies
flav _
10 hours ago
The most meaningful and touching song ever
The most ethereal music video ever
The most heart warming lyrics, rhythm and melody ever
The most enjoyable choreography ever
Read more
16
REPLY
korean_big_ minion
15 hours ago
i just gotta say that everyone talks about how rude and selfish blinks are.. but when i was a new fan, and i commented on their videos or posts asking questions, blinks were sooooo helpful and sweet about it. but as soon as i commented once on a bts video asking who one of them was, all i got was hate for “not knowing legends”. i’m not sending hate to bts or anything, i just find it ironic.. i’m really glad i joined this fandom tho
17
REPLY
View 3 replies
Blink
20 hours ago
Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up
1
REPLY
Ur Mom
4 weeks ago
Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty
580
REPLY
View 52 replies
saarah begum
8 hours ago
Haters: I hate BLACKPINK
Jisoo: that's a pity
10
REPLY
Yadom The Great
4 weeks ago
This song is just so refreshing to the ears it's not like their other songs that has a lot of beats to it
1.3K
REPLY
View 21 replies
Nia Meghani
19 hours ago
❗ATTENTION BLINKS❗

HYLT is predicted to lose its tittle as most viewed K-pop MV of 2020 in December (or even sooner)

STREAM 🙌 Everyone can help, together we are strong. Blinks fighting!
8
REPLY
View 2 replies
ilyxgg -
1 day ago
THE PART OF JISOO IS ART-
7
REPLY
View reply
PARK ALAA
1 day ago
I'm not blink, but I'm not sure after seeing this song!
8
REPLY
soso ve
16 hours ago
this is actually the most beautiful song of blackpink. Not my favorite or the coolest or the sadest or the song I like dancing on the most but idk the most touching. And everytime I watch it even more moved the MV is so beautiful omg
7
REPLY
nina spring
4 weeks ago
Rose’s acting is honestly so incredible for me...the way she cried in the bathup...
2K
REPLY
View 39 replies
vanille robalinho
1 day ago
There's a think missing in my life. That's Lisa's wardrobe.
5
REPLY
Anadeth Torres
21 hours ago (edited)
Who's watching now in halloween?
👇
2
REPLY
Franky Hathaway
9 hours ago
Jennie: “A prince not even on my list”

Me: laughing in closeted lesbian
1
REPLY
blacpink is the revolution
1 day ago
JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO
10
REPLY
View 3 replies
ultjisooo
4 weeks ago (edited)
this music video has everything; the visuals, the aesthetics, the acting, etc.. and ofc the song sounds nostalgic
1.3K
REPLY
View 12 replies
POSITIVE THINKING
1 day ago
let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!
Read more
5
REPLY
Multifandom FTW
19 hours ago
Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.
3
REPLY
Adam Dankworth
21 hours ago
Who else wants this to get 500 m before 2020 ends?
👇💕💕
REPLY
and i oop
19 hours ago (edited)
Blackpink:
2016-
Boombayah
Whistle
Read more
5
REPLY
View 2 replies
darker than gray lighter than red enthusiast
3 weeks ago (edited)
they dragged irene for reading a book, mina and jihyo for being in a soccer team, naeun for having a phone case that said “girls can do anything”, joy for wearing a feminist shirt, aisha for being tall, jennie for wearing a nurse outfit which isn’t even inappropriate. misogyny 💀
309
REPLY
View 23 replies
lalisa manoban
11 hours ago
LAS BLACKPINK SIEMPRE HACEN ARTES SON ALTAS DIOSAS
4
REPLY
alxeyyy
9 hours ago
1 Million : listo
10 Millones : listo
20 Millones : listo
30 Millones : listo
Read more
5
REPLY
View reply
Anugraha's ASMR
20 hours ago
Blinks please vote for Blackpink in the MWAVE APP. (MAMA 2020) 
They are nominated in multiple categories. Stream how you like that as well. Stream in the proper way.  Leave a like if you haven't already.
6
REPLY
ayhamouch 55
19 hours ago
Blackpink: we are the lovesick girls
1
REPLY
Raycon Almaden
1 day ago
BLACKPINK - 'Lovesick Girls' M/V
00:00  ●━━━━━━───────  3:21
⇆ㅤㅤㅤㅤ◁ㅤㅤ❚❚ㅤㅤ▷ㅤㅤㅤㅤ↻
26
REPLY
View reply
Mubashira kt Mubi
1 day ago
This is only blackpink area
We love you LIJEROJI
2
REPLY
Ani López
8 hours ago
Pasarán los segundos, minutos, horas, días, años pero yo NUNCA OLVIDARÉ TREMENDA CANCIÓN LA PTMR MARGE NECESITO MAYÚSCULAS MÁS GRANDES PARA EXPRESAR TODO EL AMOR POR ESTA BELLA CANCIÓNNNN
5
REPLY
• KIM LISA •
1 day ago
بلينكزززز ستر*يم للمجيماك لانها قربت للمليا*ر
17
REPLY
View reply
We some yeppeujanghan savage
4 weeks ago (edited)
The Album is basically about them.
•How you like that is about their success and karma hitting haters
•Pretty Savage is a diss to haters
•Love To Hate Me is a diss to OT1/2/3 Stans
258
REPLY
View 6 replies
Justin X.
18 hours ago (edited)
The last number of likes is your bias:
1. Lisa
2. Jennie
3. Rose
46
REPLY
View 7 replies"
1,
2,"BLACKPINK – ‘Lovesick Girls’

영원한 밤
창문 없는 방에 우릴 가둔 love
What can we say
매번 아파도 외치는 love

다치고 망가져도 나
뭘 믿고 버티는 거야
어차피 떠나면 상처투성인 채로 미워하게 될걸
끝장을 보기 전 끝낼 순 없어
이 아픔을 기다린 것처럼

아마 다 잠깐 일지도 몰라
우린 무얼 찾아서 헤매는 걸까

But I don’t care I’ll do it over and over
내 세상 속엔 너만 있으면 돼

We are the lovesick girls
네 멋대로 내 사랑을 끝낼순 없어
We are the lovesick girls
이 아픔 없인 난 아무 의미가 없어

But we were born to be alone
Yeah we were born to be alone
Yeah we were born to be alone 
But why we still looking for love

No love letters, no x and o’s
No love never, my exes know
No diamond rings, that set in stone
To the left, better left alone

Didn’t wanna be a princess, I’m priceless
A prince not even on my list
Love is a drug that I quit
No doctor could help when I’m lovesick

아마 다 잠깐 일지도 몰라
우린 무얼 찾아서 헤매는 걸까

불안한 내 눈빛 속에 널 담아
아프더라도 너만 있으면 돼

We are the lovesick girls
네 멋대로 내 사랑을 끝낼 순 없어
We are the lovesick girls
이 아픔 없인 난 아무 의미가 없어

But we were born to be alone
Yeah we were born to be alone
Yeah we were born to be alone 
But why we still looking for love

사랑은 slippin’ and fallin’
사랑은 killin’ your darlin’
아프다 아물면 또 찾아오는 이 겁 없는 떨림

들리지 않아 what you say
이 아픔이 난 행복해
나를 불쌍해 하는 네가 내 눈엔 더 불쌍해

We are the lovesick girls
네 멋대로 내 사랑을 끝낼 순 없어
We are the lovesick girls
이 아픔없인 난 아무 의미가 없어

Lovesick girls 
모두 결국 떠나가고
Lovesick girls
내 눈물이 무뎌져도
Lovesick girls
아프고 또 아파도
Lovesick girls
But we’re still looking for love

Available on @ "
3,Watch us on RELEASED for never before seen footage before our new music video drops. Set a reminder  → yt.be/releasedblackpink
4,"“We were born to be alone but why we still looking for love”

Me: gorlllll i question that to myself everyday"
5,"Everyone: ""This is the worst year ever""

BLACKPINK: ""Sorry but not for us""



STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020)"
6,BRASILEIROS IN YOUR AREAAAA
7,Guys pls dont' foget vote BLACKPINK in MAMA 2020.
8,"Jennie : with Loren
Lisa : with Loren
Rosé : with Loren
Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in"
9,"Therapist: “So Rosé... why were you and that boy fighting?”

Rosé: “H-he brought the wrong type of pink!!!”"
