형태소,품사,분류,카운트
!,Punctuation,"1002,""Ai papai 😍 que homen ! ",1
!,Punctuation,"1027,hay... mis ovarios!😈😈",1
!,Punctuation,"1217,That thumnail tho! loll",1
!,Punctuation,"1270,티티파찌!",1
!,Punctuation,"1295,박재범 멋있네요!",1
!,Punctuation,"134,Uuuuf está fuertisimo el amigo!!! 😼Unas ganas de pasar mis manitos por ese abdomen! 😈",1
!,Punctuation,"1404,me va a dar algo con este vídeo! ❤",1
!,Punctuation,"1414,맨날 벗으면 감기걸려요!",1
!,Punctuation,"187,He sounds soo good!",1
!,Punctuation,1:26 흐에!흐에!흐에!흐에!,4
!,Punctuation,"290,boyyyyyyyy he getting thicccc oof yes! fine man fine man FINE MAN.",1
!,Punctuation,"293,남자가 봐도 간지난다 ㅋㅋㅋㅋ 아이돌 처럼 어색하게 비보이 하는거도 아닌 리얼 비보이 아이돌처럼 겉멋 근육 아닌 리얼 오래숙련된 근육 춤도 잘추고 노래도 잘하고 모든게 리얼 간지남!",1
!,Punctuation,"323,찌찌파티!찌찌파티!",2
!,Punctuation,"341,""OMG!😨",1
!,Punctuation,"362,찌찌 파티! 찌찌 파티!",2
!,Punctuation,"420,""재범 오빠 찌찌 파티!",1
!,Punctuation,"445,1:26 흐에!흐에!흐에!흐에!",4
!,Punctuation,"528,하트하나하나 다해주시넼 ㅋㅋㅋ수고하십니다!",1
!,Punctuation,"618,love how he always take off his shirt. So hot!",1
!,Punctuation,"661,찌찌파티!",1
!,Punctuation,"673,찌! 찌! 파! 티!",4
!,Punctuation,"676,joder! no hay nadie mas sexy y mas tremendo que Jay Park lol",1
!,Punctuation,"713,i cant believe jay park turned me straight! okay not really but he popped off!",2
!,Punctuation,"746,검은색옷 아는사람!",1
!,Punctuation,"766,정글은 저튜브!👍",1
!,Punctuation,"891,""독서실인거 까먹고 으악!해버림,,""",1
!,Punctuation,"943,Most sexiest guy on earth !",1
!,Punctuation,"974,여자들 난이가난네..  환호성장난아니네!",1
!,Punctuation,"985,부럽다 헬스장 다닐건데 박재범형 같이 돼고 싶다! 형 멋져요!",2
!,Punctuation,Ai papai 😍 que homen ! ,1
!,Punctuation,He sounds soo good!,1
!,Punctuation,ImgoinSolo Blink!,1
!,Punctuation,Most sexiest guy on earth !,1
!,Punctuation,OMG!😨,1
!,Punctuation,Teehee !,1
!,Punctuation,That thumnail tho! loll,1
!,Punctuation,Uuuuf está fuertisimo el amigo!!! 😼Unas ganas de pasar mis manitos por ese abdomen! 😈,1
!,Punctuation,boyyyyyyyy he getting thicccc oof yes! fine man fine man FINE MAN.,1
!,Punctuation,hay... mis ovarios!😈😈,1
!,Punctuation,i cant believe jay park turned me straight! okay not really but he popped off!,2
!,Punctuation,"if i was there, i would have died..so hot!",1
