개수 : 상대빈도,열 레이블,
행 레이블,Noun,총합계
노래,222,222
회수,199,199
진짜,146,146
제목,131,131
은솔,124,124
뭐,116,116
거,112,112
영상,105,105
이,104,104
사람,94,94
좀,92,92
이름,83,83
보창,78,78
악플,72,72
왜,71,71
몸매,70,70
보고,68,68
댓글,66,66
춤,64,64
여자,63,63
직캠,62,62
언니,59,59
밤비노,56,56
뭐임,48,48
분,48,48
저,46,46
조회,46,46
남자,45,45
개,44,44
생각,41,41
얼굴,39,39
더,39,39
말,33,33
여기,30,30
나,30,30
인터뷰,29,29
의상,29,29
성희롱,29,29
수가,28,28
뭔가,28,28
내,28,28
데,28,28
걸,28,28
애,27,27
댄스,27,27
존나,26,26
정도,26,26
섹시,26,26
사랑,26,26
임,25,25
정말,24,24
이노,24,24
것,24,24
도,24,24
듯,24,24
그냥,24,24
자기,22,22
레전드,22,22
깨박,22,22
실화,21,21
오늘,20,20
마음,20,20
브금,20,20
눈,20,20
건양대,20,20
제발,19,19
안,19,19
성적,19,19
손,19,19
때,19,19
오,19,19
그,19,19
공연,19,19
한번,18,18
지금,18,18
아시,18,18
몸,18,18
누나,18,18
걸그룹,18,18
발언,17,17
계속,17,17
난,17,17
처음,16,16
유튜브,16,16
신분,16,16
옷,16,16
욕,16,16
돈,16,16
하나,15,15
팬티,14,14
쩐다,14,14
하니,14,14
입,14,14
무엇,14,14
머리,14,14
바지,14,14
관련,14,14
골반,14,14
팬,13,13
요,13,13
매력,13,13
방송,13,13
기분,13,13
함,12,12
허리,12,12
_다,12,12
우리나라,12,12
이건,12,12
역시,12,12
응원,12,12
우리,12,12
소속사,12,12
무대,12,12
마이크,12,12
선,12,12
머임,12,12
수준,12,12
머,12,12
보기,12,12
누구,12,12
대박,12,12
은,11,11
용,11,11
번,11,11
뭘,11,11
민아,11,11
박,11,11
해,11,11
제,10,10
항상,10,10
팀,10,10
아이돌,10,10
와우,10,10
어디,10,10
이분,10,10
이언,10,10
여,10,10
위,10,10
앞,10,10
벌써,10,10
로,10,10
모습,10,10
뮤비,10,10
일,10,10
게,10,10
느낌,10,10
놈,10,10
건가,10,10
그룹,10,10
다이어트,10,10
한국,9,9
줄,9,9
엉덩이,9,9
이유,9,9
브베,9,9
누,9,9
가슴,9,9
김,9,9
학교,8,8
표현,8,8
채널,8,8
저런,8,8
저건,8,8
최고,8,8
