형태소,품사,분류,카운트
!,Punctuation,"35,VOTE AT MAMA BLINKS! BLACKPINK IS NOMINATED. THEY MIGHT PERFORM THERE.",1
!,Punctuation,"I'm not blink, but I'm not sure after seeing this song!",1
!,Punctuation,Kpop & Toca Boca FOREVER!,1
!,Punctuation,LOVESICK GIRLS : BLACKPINK !,1
!,Punctuation,STAN BLACKPINK FOR BETTER LIFE!,1
!,Punctuation,"STREAM 🙌 Everyone can help, together we are strong. Blinks fighting!",1
!,Punctuation,VOTE AT MAMA BLINKS! BLACKPINK IS NOMINATED. THEY MIGHT PERFORM THERE.,1
!!,Punctuation,because he buy the wrong type of pink !!,2
!!!,Punctuation,"10,""Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!""",1
!!!,Punctuation,"Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!",1
!!!,Punctuation,Rosé: “H-he brought the wrong type of pink!!!”,1
!!!,Punctuation,"Rosé: “H-he brought the wrong type of pink!!!”""",1
!!!!,Punctuation,"10,""Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!""",1
!!!!,Punctuation,"Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!",2
!!!!!,Punctuation,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",1
"!!!!!""",Punctuation,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",1
"!!!!""",Punctuation,"10,""Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!""",1
"!""",Punctuation,"48,""I'm not blink, but I'm not sure after seeing this song!""",1
"!""",Punctuation,"LOVESICK GIRLS : BLACKPINK !""",1
"!""",Punctuation,"STAN BLACKPINK FOR BETTER LIFE!""",1
"!""",Punctuation,"STREAM 🙌 Everyone can help, together we are strong. Blinks fighting!""",1
"""",Punctuation,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT""",1
"""",Punctuation,"12,""Jennie no sexualizo , la sexualizaron que es otra cosa diferente , FACTS""",1
"""",Punctuation,"30 Millones : listo""",1
"""",Punctuation,"34,""In this era everybody shines, Not only one""",1
"""",Punctuation,"40 million okey""",1
"""",Punctuation,"41,""i just gotta say that everyone talks about how rude and selfish blinks are.. but when i was a new fan, and i commented on their videos or posts asking questions, blinks were sooooo helpful and sweet about it. but as soon as i commented once on a bts video asking who one of them was, all i got was hate for “not knowing legends”. i’m not sending hate to bts or anything, i just find it ironic.. i’m really glad i joined this fandom tho""",1
"""",Punctuation,"43,""Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty""",1
"""",Punctuation,"55,""this music video has everything; the visuals, the aesthetics, the acting, etc.. and ofc the song sounds nostalgic""",1
"""",Punctuation,"60,""they dragged irene for reading a book, mina and jihyo for being in a soccer team, naeun for having a phone case that said “girls can do anything”, joy for wearing a feminist shirt, aisha for being tall, jennie for wearing a nurse outfit which isn’t even inappropriate. misogyny 💀""",1
"""",Punctuation,"Available on @ """,1
"""",Punctuation,"Blackpink: HERE I COME KICKN THE DOOR""",1
"""",Punctuation,"It doesn't matter if pikks attend or not , that award will be added to their awards list""",1
"""",Punctuation,"Jisoo : I'm Jisoo I'm ok""",1
"""",Punctuation,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in""",1
"""",Punctuation,"Jisoo: that's a pity""",1
"""",Punctuation,"Me: gorlllll i question that to myself everyday""",1
"""",Punctuation,"Me: laughing in closeted lesbian""",1
