형태소,품사,분류,카운트
!,Punctuation,... and she doesn’t work out. Amazing!,1
!,Punctuation,0:09~0:19 남자 눈 때찌!,1
!,Punctuation,"118,선미 무대 최고! 보통 밑바닥 앉는거 잘 안 하던데 풀로 춤 안 춰주는데 엄청 성의있네 우리 선미",1
!,Punctuation,"169,That Gucci bathing suit looks super bomb on my queen! 👑",1
!,Punctuation,"178,... and she doesn’t work out. Amazing!",1
!,Punctuation,17:55 Everyone's talking about how cute the guy's smile is. I know why he's smiling here. Dude just got caressed by the queen y'all! You can see him grinning so big after😂😂😂,1
!,Punctuation,"263,다시보니 프듀 48 한승희 트레이너님 보이는것같아요!",1
!,Punctuation,"289,@9:29 dancer dude standing up..Ya'll....He CUTE! XD...",1
!,Punctuation,"308,어! 거기에 1:31에 약간 프듀에 나온 1000%만드신분이랑 닮았다",1
!,Punctuation,"396,Que perro miedo con su flaquez!",1
!,Punctuation,"508,0:09~0:19 남자 눈 때찌!",1
!,Punctuation,"536,근데 너무 말라깽이다...효린이가 섹시하지!",1
!,Punctuation,"56,Sunmi is really really beautiful!👑❤",1
!,Punctuation,"63,말랐는데.. 어쩜저리! 볼륨이있고~탄탄할까~~!춤도너무이쁘게잘춘다!",2
!,Punctuation,"65,I’m in love with her back up dancer! The fan guy is so beautiful I just wanna know his name ❤️ Sunmi was hot as usual nothing new here at all 😊",1
!,Punctuation,"92,17:55 Everyone's talking about how cute the guy's smile is. I know why he's smiling here. Dude just got caressed by the queen y'all! You can see him grinning so big after😂😂😂",1
!,Punctuation,@9:29 dancer dude standing up..Ya'll....He CUTE! XD...,1
!,Punctuation,I’m in love with her back up dancer! The fan guy is so beautiful I just wanna know his name ❤️ Sunmi was hot as usual nothing new here at all 😊,1
!,Punctuation,Que perro miedo con su flaquez!,1
!,Punctuation,Sunmi is really really beautiful!👑❤,1
!,Punctuation,That Gucci bathing suit looks super bomb on my queen! 👑,1
!,Punctuation,"[4K] Changmo's Killing Verse Live! Selfmade orange, BAND, PT remix, I always, Interlude, OMR ...",1
!,Punctuation,근데 너무 말라깽이다...효린이가 섹시하지!,1
!,Punctuation,다시보니 프듀 48 한승희 트레이너님 보이는것같아요!,1
