형태소,품사,분류,카운트
!,Punctuation,"1009,She is very cute!😘",1
!,Punctuation,"1011,Damn girl!🔥",1
!,Punctuation,"1081,to the fapcave!",1
!,Punctuation,"109,악플관련 인터뷰 보고왔다 짜샤들아! 그런 거 적지 마!ㅋㅋㅋㅋ",2
!,Punctuation,"112,와...가슴이 저렇게 큰데 수술을 안했다니! 나도 지금 거슴 커질려고 마사지 열심히 하는데ㅠ",1
!,Punctuation,"1169,부엉이 바위! 노무 노무",1
!,Punctuation,"117,귀엽고 몸매도좋고... 남자들이 좋아할만한 스타일!",1
!,Punctuation,"1180,""야!내 단백질내놔 이 도둑아. ",1
!,Punctuation,"1192,Damn! She highly need some food. Look like malnourished.",1
!,Punctuation,"12,춤 추시는 모습이 정말 아름다우세요! 언제나 응원하고 하고싶은 일 모두 잘 되시길 바라겠습니다 은솔님 짱!!",1
!,Punctuation,"1248,슴술 할수도 있지 왜그러냐ㅋㅋ큐ㅠㅜㅠ 이뻐보이고 싶은건 당연! 수술하는 것도 본인 맘인데  뭐라하는거 너무함 으으",1
!,Punctuation,"1292,bambino best!",1
!,Punctuation,"1333,내가 조선초기 왕이였다면.. 오늘밤은 너로 정했다!",1
!,Punctuation,"1402,Eunsol es asombrosa ¡me he quedado enamorado!",1
!,Punctuation,"1408,""엣헴엣헴! 나무위키에서 순례중인 씹선비오~ 엣헴엣헴!",2
!,Punctuation,"1424,是否考慮進去演藝圈?你很適合呢!   by dj lin",1
!,Punctuation,"1427,조회수 천만이 넘어간걸 이제야 보다니 너무 세상물정 모르고 살아왔네! ㅋ",1
!,Punctuation,"152,밤노비 짱!",1
!,Punctuation,"155,ㅗㅜㅑ 오~~ 섹쉬해! 오마이갓",1
!,Punctuation,"187,¡Hermosa muchacha!",1
!,Punctuation,"189,은솔언니 이뻐요 ! 악플보고 상처받으시질 마시고 앞으로만 좋은일만 았었으면 좋겠습니다 ♥♥",1
!,Punctuation,"2,""Eunsol is back! She is now in a group called Tropical they released a single called """"Mwah"""" you should check it out!!!!""",1
!,Punctuation,"28,항상 웃는 모습 보기 좋아요~ 악플따위에 신경쓰지마시고 계속 무대에서 춤춰주세요!",1
!,Punctuation,"310,몸매 가지고 비난하시는분들이 많이 사라져서 다행이예요!  힘내요 은솔님 !",2
!,Punctuation,"351,넌 천사였어!",1
!,Punctuation,"354,와 춤잘춘다. 그리고 하나도안야해요!",1
!,Punctuation,"366,Mmmmm!  GORGEOUS!!.",1
!,Punctuation,"376,힘내세요 응원합니다!  악플 다는 인간들 신경쓰기에는 인생은 너무 짧아요 ㅋ",1
!,Punctuation,"50,DAMN! I feel something burning and it's not fever O.o",1
!,Punctuation,"513,깨박이 유튜브 보고 온 분!",1
!,Punctuation,"52,She's such a good dancer!",1
!,Punctuation,"53,""조회수 5천만이 되는 그날까지 화이팅!",1
!,Punctuation,"695,Who is this girl? She's absolutely gorgeous!",1
!,Punctuation,"720,누나 사랑해요 탁탁탁!",1
!,Punctuation,"86,📲Congratulations   !",1
!,Punctuation,"907,what's her name! Anyone?",1
!,Punctuation,"95,Now that is dancing!",1
!,Punctuation,"96,열심히 하시니 아름답습니다!",1
!,Punctuation,"980,자 보자 조회수가 1800만이니까 한번에 한사람당 3억마리.. 18000000x300000000=5400000000000000마리!!! 540조!",1
!,Punctuation,"995,WOW! so sexy korean girls are very hot and beautiful!!!!!!!",1
!,Punctuation,"An extremely beautiful young lady, super sexy, 🔥 🔥 🔥!",1
!,Punctuation,DAMN! I feel something burning and it's not fever O.o,1
!,Punctuation,Damn girl!🔥,1
!,Punctuation,Damn! She highly need some food. Look like malnourished.,1
!,Punctuation,Eunsol es asombrosa ¡me he quedado enamorado!,1
!,Punctuation,"Eunsol is back! She is now in a group called Tropical they released a single called """"Mwah"""" you should check it out!!!!",1
!,Punctuation,Mmmmm!  GORGEOUS!!.,1
!,Punctuation,Now that is dancing!,1
!,Punctuation,"Oh, my got!",1
!,Punctuation,Playing Among Us In Real Life!,1
!,Punctuation,She is very cute!😘,1
!,Punctuation,She's such a good dancer!,1
!,Punctuation,WOW! so sexy korean girls are very hot and beautiful!!!!!!!,1
!,Punctuation,Who is this girl? She's absolutely gorgeous!,1
!,Punctuation,bambino best!,1
!,Punctuation,"nice.....but i prefer Laysha, they have some own great songs too!",1
!,Punctuation,to the fapcave!,1
!,Punctuation,what's her name! Anyone?,1
!,Punctuation,¡Hermosa muchacha!,1
!,Punctuation,ㅗㅜㅑ 오~~ 섹쉬해! 오마이갓,1
!,Punctuation,是否考慮進去演藝圈?你很適合呢!   by dj lin,1
!,Punctuation,귀엽고 몸매도좋고... 남자들이 좋아할만한 스타일!,1
!,Punctuation,깨박이 유튜브 보고 온 분!,1
!,Punctuation,내가 조선초기 왕이였다면.. 오늘밤은 너로 정했다!,1
!,Punctuation,넌 천사였어!,1
!,Punctuation,누나 사랑해요 탁탁탁!,1
!,Punctuation,눈온다!,1
!,Punctuation,다시 돌어올수 밖에 없는 이유는 율동에 딱맞아떨어지는 치명적인 얼굴 표정!,1
!,Punctuation,몸매 가지고 비난하시는분들이 많이 사라져서 다행이예요!  힘내요 은솔님 !,2
!,Punctuation,밤노비 짱!,1
!,Punctuation,부엉이 바위! 노무 노무,1
!,Punctuation,"사회악이다,정말  소속사들이 이런 악플들, 성희롱들 가만안뒀으면 좋겠다 성희롱과 악플 때문에  정신적으로 힘드셨을 은솔언니!  좋은일만있으셨으면 좋겠고 또 원하는일만 있으면좋겠습니다 파이팅 !언니 잘되길 빌게요!🙏🏻💕💕",3
!,Punctuation,"사회악이다,정말  소속사들이 이런 악플들, 성희롱들 가만안뒀으면 좋겠다 성희롱과 악플 때문에  정신적으로 힘드셨을 은솔언니!  좋은일만있으셨으면 좋겠고 또 원하는일만 있으면좋겠습니다 파이팅 !언니 잘되길 빌게요!🙏🏻💕💕""",3
!,Punctuation,슴술 할수도 있지 왜그러냐ㅋㅋ큐ㅠㅜㅠ 이뻐보이고 싶은건 당연! 수술하는 것도 본인 맘인데  뭐라하는거 너무함 으으,1
!,Punctuation,악플관련 인터뷰 보고왔다 짜샤들아! 그런 거 적지 마!ㅋㅋㅋㅋ,2
!,Punctuation,야!내 단백질내놔 이 도둑아. ,1
!,Punctuation,엣헴엣헴! 나무위키에서 순례중인 씹선비오~ 엣헴엣헴!,2
!,Punctuation,열심히 하시니 아름답습니다!,1
!,Punctuation,와 춤잘춘다. 그리고 하나도안야해요!,1
!,Punctuation,와...가슴이 저렇게 큰데 수술을 안했다니! 나도 지금 거슴 커질려고 마사지 열심히 하는데ㅠ,1
!,Punctuation,우간다너클즈!,1
!,Punctuation,우리댓글예쁘게써요!,1
!,Punctuation,은솔언니 이뻐요 ! 악플보고 상처받으시질 마시고 앞으로만 좋은일만 았었으면 좋겠습니다 ♥♥,1
!,Punctuation,자 보자 조회수가 1800만이니까 한번에 한사람당 3억마리.. 18000000x300000000=5400000000000000마리!!! 540조!,1
!,Punctuation,제가 백만은 채울게요!,1
!,Punctuation,조회수 5천만이 되는 그날까지 화이팅!,1
!,Punctuation,조회수 천만이 넘어간걸 이제야 보다니 너무 세상물정 모르고 살아왔네! ㅋ,1
!,Punctuation,춤 추시는 모습이 정말 아름다우세요! 언제나 응원하고 하고싶은 일 모두 잘 되시길 바라겠습니다 은솔님 짱!!,1
